HotelName,StartRating,Value,Location,Sleep Quality,Rooms,Cleanliness,Service,Overall Rating,Continent of Origin,Travel Type
Swissotel Merchant Court,4.0 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,Asia,Family
Marina Mandarin Singapore,4.5 ,4 ,5 ,4 ,4 ,4 ,4 ,5 ,Asia,Couple
InterContinental Singapore,5.0 ,4 ,5 ,5 ,4 ,5 ,4 ,4 ,Europe,Couple
Marina Bay Sands,5.0 ,3 ,5 ,5 ,5 ,5 ,5 ,5 ,Europe,Couple
"Mandarin Oriental, Singapore",5.0 ,4 ,3 ,5 ,5 ,5 ,5 ,5 ,Europe,Business
Quincy Hotel,4.0 ,5 ,5 ,5 ,4 ,5 ,5 ,5 ,Europe,Couple
Carlton Hotel Singapore,4.0 ,2 ,4 ,2 ,2 ,5 ,1 ,3 ,Europe,Couple
Mandarin Orchard Singapore,4.5 ,4 ,5 ,5 ,5 ,5 ,4 ,5 ,Europe,Couple
Marriott Hotel Singapore,4.5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Business
Conrad Centennial Singapore,5.0 ,5 ,4 ,5 ,5 ,5 ,5 ,5 ,North America,Couple
Raffles Hotel Singapore,5.0 ,4 ,5 ,5 ,5 ,5 ,5 ,5 ,North America,Couple
